Date,Revenue,COGS,Actual_Profit,n_orders,n_items,n_returned_items,total_refunds,year,month,day,day_of_year,day_of_week,quarter,is_weekend,is_holiday,is_promo,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source,yoy_growth_ref,Revenue_ref,COGS_ref,revenue_mape_day
2012-07-04,5048383.32,3925397.1131,1122986.2069,156,763,0,0.0,2012,7,4,186,2,3,0,0,0,,,,,,,1.039405393049242,5123547.94,3982991.19,0.014670423870377624
2012-07-05,2714750.84,2127744.3655,587006.4745,96,425,0,0.0,2012,7,5,187,3,3,0,0,0,,,,,,,1.039405393049242,2751773.45,2150580.23,0.013454090851846954
2012-07-06,2945803.19,2441438.7965,504364.3935,90,425,0,0.0,2012,7,6,188,4,3,0,0,0,,,,,,,1.039405393049242,3054029.42,2517632.84,0.035437193005167573
2012-07-07,2489990.34,1959103.1094,530887.2306,70,341,0,0.0,2012,7,7,189,5,3,1,0,0,,,,,,,1.039405393049242,2667930.94,2108246.62,0.0666961042102537
2012-07-08,2204333.57,1707363.1666,496970.4034,83,366,0,0.0,2012,7,8,190,6,3,1,0,0,,,,,,,1.039405393049242,2360851.9,1808622.79,0.06629739459726385
2012-07-09,3538907.07,2779585.8511,759321.2189,135,721,0,0.0,2012,7,9,191,0,3,0,0,0,,,,,,,1.039405393049242,3548386.46,2787841.68,0.0026714649339520165
2012-07-10,4976582.1,3857171.621,1119410.479,172,883,0,0.0,2012,7,10,192,1,3,0,0,0,,,,,,,1.039405393049242,5234938.62,4044438.84,0.049352349426400814
2012-07-11,5378163.53,4184690.5021,1193473.0279,213,1055,4,6493.75,2012,7,11,193,2,3,0,0,0,,,,,,,1.039405393049242,5582884.78,4338313.07,0.03666943848337848
2012-07-12,5618927.73,4375086.3885,1243841.3415,238,1198,1,4834.0,2012,7,12,194,3,3,0,0,0,,,,,,,1.039405393049242,5734632.02,4458811.27,0.02017641055197106
2012-07-13,5062170.2,3950344.6445,1111825.5555,191,949,0,0.0,2012,7,13,195,4,3,0,0,0,,,,,,,1.039405393049242,5309511.71,4143402.78,0.046584605799842894
2012-07-14,3724577.49,3035788.4729,688789.0171,154,736,6,52967.0,2012,7,14,196,5,3,1,0,0,,,,,,,1.039405393049242,3820831.41,3075464.87,0.02519187832995749
2012-07-15,3830999.29,3077639.4085,753359.8815,144,703,2,13534.619999999999,2012,7,15,197,6,3,1,0,0,,,,,,,1.039405393049242,3948841.28,3154482.05,0.029842169295799036
2012-07-16,3361257.85,2604337.8851,756919.9649,132,669,4,16170.54,2012,7,16,198,0,3,0,0,0,,,,,,,1.039405393049242,3503801.49,2708219.59,0.04068256732204316
2012-07-17,4244172.15,3299320.2791,944851.8709,179,935,5,22944.07,2012,7,17,199,1,3,0,0,0,,,,,,,1.039405393049242,4476729.49,3463061.65,0.051948043883259035
2012-07-18,5117793.07,4031981.2600000002,1085811.81,224,1079,4,23202.75,2012,7,18,200,2,3,0,0,0,,,,,,,1.039405393049242,5184141.46,4072012.16,0.012798337104018698
2012-07-19,6225643.16,4882549.9634,1343093.1966,258,1288,11,35697.71,2012,7,19,201,3,3,0,0,0,,,,,,,1.039405393049242,6421487.11,5007270.91,0.030498223642778623
2012-07-20,5067788.67,4130455.4379000003,937333.2321,226,1210,1,1511.59,2012,7,20,202,4,3,0,0,0,,,,,,,1.039405393049242,5171470.46,4213989.64,0.020048802521826652
2012-07-21,3119977.01,2580201.161,539775.849,166,824,19,139515.72,2012,7,21,203,5,3,1,0,0,,,,,,,1.039405393049242,3442157.02,2746075.45,0.09359828971427929
2012-07-22,2801599.16,2446159.5762,355439.5838,135,688,24,196470.94,2012,7,22,204,6,3,1,0,0,,,,,,,1.039405393049242,3117550.57,2531656.38,0.10134604167784188
2012-07-23,4525625.16,3614710.9529,910914.2071,202,1021,15,127759.84,2012,7,23,205,0,3,0,0,0,,,,,,,1.039405393049242,4730517.69,3685006.66,0.04331291909829012
2012-07-24,3849492.82,3129425.467,720067.353,177,876,13,81299.68000000001,2012,7,24,206,1,3,0,0,0,,,,,,,1.039405393049242,4096496.12,3248450.65,0.06029623677514927
2012-07-25,4797911.8,3896475.0154,901436.7846,215,1032,24,141941.0,2012,7,25,207,2,3,0,0,0,,,,,,,1.039405393049242,5246688.08,4140019.37,0.08553515535080185
2012-07-26,5714571.34,4511396.097,1203175.243,268,1282,16,46345.31,2012,7,26,208,3,3,0,0,0,,,,,,,1.039405393049242,5851965.06,4579171.74,0.023478219468384822
2012-07-27,4980618.14,3896638.741,1083979.399,207,1040,18,53193.439999999995,2012,7,27,209,4,3,0,0,0,,,,,,,1.039405393049242,5156699.45,3989402.2,0.03414612616215213
2012-07-28,3940299.42,3180332.9148,759966.5052,169,854,26,77765.1,2012,7,28,210,5,3,1,0,0,,,,,,,1.039405393049242,4326956.84,3403662.59,0.0893601286764857
2012-07-29,4428482.45,3669657.7859,758824.6641,199,932,35,188827.85,2012,7,29,211,6,3,1,0,0,,,,,,,1.039405393049242,4804199.65,3819645.91,0.07820599212607664
