order_date,Daily_Revenue,Daily_COGS,Total_Units_Sold,Total_Orders,Active_Promos,N_Active_Promos,Day_of_Week,Month,Quarter,Year,Day_of_Year,Is_Weekend,Is_Month_End,Is_Quarter_End,Is_Public_Holiday,Is_Mega_Sale,Total_Sessions,Avg_Bounce_Rate,Avg_Session_Dur,Revenue_Lag_1D,COGS_Lag_1D,Revenue_Lag_7D,COGS_Lag_7D,Revenue_Lag_30D,COGS_Lag_30D,Revenue_Lag_365D,COGS_Lag_365D,Revenue_Rolling_7D,Sessions_Rolling_7D,Revenue_Rolling_30D,Sessions_Rolling_30D,Daily_Returns,Return_Rate
2013-07-04,1905076.6099999999,2205969.9010666893,450,87,96,1,3,7,3,2013,185,0,0,0,0,0,20224.0,0.00434,133.9,5898393.01,7019618.451477833,5871867.11,6957051.143789951,5126270.83,4090992.322723755,4968762.12,3856167.5240498716,5547589.2700000005,24241.428571428572,5228456.771000001,26379.466666666667,8.0,0.0178
2013-07-05,1962713.44,2346519.0481015514,513,102,109,1,4,7,3,2013,186,0,0,0,0,0,22308.0,0.00435,162.3,1905076.6099999999,2205969.9010666893,4633441.2299999995,5427090.275473426,6405227.05,5144634.452043543,2520721.79,1962911.9301074804,4980904.912857143,23338.428571428572,5121083.630333333,26142.466666666667,24.0,0.0468
2013-07-06,1719684.1,1978389.6364641842,433,83,88,1,5,7,3,2013,187,1,0,0,0,0,19852.0,0.00367,171.3,1962713.44,2346519.0481015514,6967090.05,8200383.989730548,5310521.77,4317195.427865832,2646490.5500000003,2171620.326072499,4599372.371428572,23112.285714285714,4972999.843333333,25937.9,13.0,0.03
2013-07-07,2179217.76,2647262.5516326996,504,104,113,1,6,7,3,2013,188,1,0,0,0,0,19573.0,0.00554,219.4,1719684.1,1978389.6364641842,5257414.3,6189249.256323155,3306550.43,2558624.3216291745,2337896.96,1864960.4869147805,3849742.9499999997,21813.0,4853305.254333333,25719.733333333334,13.0,0.0258
2013-07-08,1933933.55,2238459.593471505,544,105,115,1,0,7,3,2013,189,0,0,0,0,0,18865.0,0.00327,160.0,2179217.76,2647262.5516326996,4921574.16,5893419.440815539,3418620.63,2711074.143327545,2199273.37,1671798.1551432202,3410000.5871428573,20779.428571428572,4815727.498666667,25478.066666666666,10.0,0.0184
2013-07-09,3478161.67,4217554.714696724,925,186,200,1,1,7,3,2013,190,0,0,0,0,0,22779.0,0.00444,299.1,1933933.55,2238459.593471505,5283345.03,6187125.072052805,3529891.2600000002,2801140.593936062,2909927.18,2235375.2484098338,2983194.785714286,20514.85714285714,4766237.929333333,25188.466666666667,21.0,0.0227
2013-07-10,2922173.27,3509216.618791775,863,181,200,1,2,7,3,2013,191,0,0,0,0,0,22911.0,0.00504,214.5,3478161.67,4217554.714696724,5898393.01,7019618.451477833,4192508.83,3363315.9754025713,4809139.38,3706259.943477722,2725311.4485714287,20603.571428571428,4764513.609666667,25118.066666666666,26.0,0.0301
2013-07-11,4266382.05,5068521.657766605,1279,259,290,1,3,7,3,2013,192,0,0,0,0,0,22159.0,0.00486,156.7,2922173.27,3509216.618791775,1905076.6099999999,2205969.9010666893,4549138.78,3561036.0509722,5279686.05,4101523.7141091763,2300137.2,20930.285714285714,4722169.091,24919.733333333334,55.0,0.043
2013-07-12,4468301.7700000005,5267025.867736262,1260,247,272,1,4,7,3,2013,193,0,0,0,0,0,21395.0,0.0046,106.4,4266382.05,5068521.657766605,1962713.44,2346519.0481015514,6374329.2,5171787.50209943,5418901.4,4202481.131210371,2637466.5485714287,21206.714285714286,4712743.866666666,24879.433333333334,49.0,0.0389
2013-07-13,2979896.7800000003,3477018.196652391,859,171,188,1,5,7,3,2013,194,1,0,0,0,0,20990.0,0.00342,184.3,4468301.7700000005,5267025.867736262,1719684.1,1978389.6364641842,5774278.84,4656933.12847046,4767890.64,3736636.2870882843,2995407.738571428,21076.285714285714,4649209.619000001,24728.166666666668,44.0,0.0512
2013-07-14,3391445.2600000002,4040891.946637968,1067,209,232,1,6,7,3,2013,195,1,0,0,0,0,19989.0,0.00387,208.7,2979896.7800000003,3477018.196652391,2179217.76,2647262.5516326996,4303020.32,3498461.785124562,3467004.08,2811281.131862531,3175438.1214285716,21238.85714285714,4556063.550333333,24502.766666666666,29.0,0.0272
2013-07-15,3248407.21,3786658.3975399705,1065,210,237,1,0,7,3,2013,196,0,0,0,0,0,18587.0,0.00407,199.4,3391445.2600000002,4040891.946637968,1933933.55,2238459.593471505,4789890.08,3749141.2735799523,3611558.93,2905854.3652523686,3348613.478571429,21298.285714285714,4525677.715,24243.9,16.0,0.015
2013-07-16,3269089.11,3769593.8065662268,1072,194,224,1,1,7,3,2013,197,0,0,0,0,0,19711.0,0.00484,256.8,3248407.21,3786658.3975399705,3478161.67,4217554.714696724,5320895.32,4185860.8658069754,3304298.02,2553139.680275679,3536395.4299999997,21258.571428571428,4474294.952666667,23965.866666666665,36.0,0.0336
2013-07-17,3380108.96,4024596.8684543013,1255,238,279,1,2,7,3,2013,198,0,0,0,0,0,19882.0,0.00416,180.4,3269089.11,3769593.8065662268,2922173.27,3509216.618791775,5470954.44,4390994.896581404,4009144.84,3081493.8594015725,3506527.921428572,20820.285714285714,4405901.412333333,23752.4,51.0,0.0406
2013-07-18,4658687.08,5567421.346315203,1514,297,341,1,3,7,3,2013,199,0,0,0,0,0,19517.0,0.00401,219.2,3380108.96,4024596.8684543013,4266382.05,5068521.657766605,5972609.18,4939897.284086755,4616731.78,3624906.699517154,3571947.305714286,20387.571428571428,4336206.563,23478.733333333334,47.0,0.031
2013-07-19,4823776.25,5465685.481359579,1345,263,267,1,4,7,3,2013,200,0,0,0,0,0,21059.0,0.00435,183.6,4658687.08,5567421.346315203,4468301.7700000005,5267025.867736262,6555915.67,5314633.115615293,5833266.12,4536793.175661259,3627990.881428572,20010.14285714286,4292409.159666667,23293.133333333335,38.0,0.0283
2013-07-20,2971472.09,3387615.301006579,798,166,159,1,5,7,3,2013,201,1,0,0,0,0,21432.0,0.00475,172.1,4823776.25,5465685.481359579,2979896.7800000003,3477018.196652391,6764181.23,5259460.310689177,4715258.79,3861392.935050371,3678772.95,19962.14285714286,4234671.1790000005,23040.7,28.0,0.0351
2013-07-21,3870016.88,3839644.552211293,843,165,111,1,6,7,3,2013,202,1,0,0,0,0,22930.0,0.00555,187.7,2971472.09,3387615.301006579,3391445.2600000002,4040891.946637968,4885756.71,3847528.915222063,3092301.9,2452681.498475013,3677569.422857143,20025.285714285714,4108247.541,22903.2,34.0,0.0403
2013-07-22,5030133.96,4462029.327847195,1109,212,60,1,0,7,3,2013,203,0,0,0,0,0,19228.0,0.00429,107.5,3870016.88,3839644.552211293,3248407.21,3786658.3975399705,4551349.02,3658655.0725579937,2871623.47,2312617.3560053236,3745936.7971428568,20445.428571428572,4074389.546666667,22699.1,51.0,0.046
2013-07-23,4147184.74,3339217.088486806,889,181,0,0,1,7,3,2013,204,0,0,0,0,0,20992.0,0.00414,201.3,5030133.96,4462029.327847195,3269089.11,3769593.8065662268,5153431.29,4452292.486202449,4557857.42,3553364.878406067,4000469.1900000004,20537.0,4090349.044666666,22461.133333333335,40.0,0.045
2013-07-24,6480028.38,5215573.923415911,1149,227,0,0,2,7,3,2013,205,0,0,0,0,0,23873.0,0.00565,202.2,4147184.74,3339217.088486806,3380108.96,4024596.8684543013,4456662.16,4555469.29964006,3664854.9899999998,2897046.512229069,4125911.4228571425,20720.0,4056807.4930000002,22249.033333333333,45.0,0.0392
2013-07-25,5748380.6,4490030.316430283,1176,249,0,0,3,7,3,2013,206,0,0,0,0,0,24318.0,0.00497,186.2,6480028.38,5215573.923415911,4658687.08,5567421.346315203,5336024.86,5625865.761399301,4809259.03,3770619.367063716,4568757.054285714,21290.14285714286,4124253.033666666,22161.566666666666,58.0,0.0493
2013-07-26,6285500.84,4995837.170769793,1227,228,0,0,4,7,3,2013,207,0,0,0,0,0,20769.0,0.00562,249.5,5748380.6,4490030.316430283,4823776.25,5465685.481359579,6472550.34,7169422.668725715,5084409.2700000005,3958674.655580157,4724427.5571428565,21976.0,4137998.225,21982.366666666665,42.0,0.0342
2013-07-27,3951589.99,3155541.240988822,750,166,0,0,5,7,3,2013,208,1,0,0,0,0,18198.0,0.00462,279.9,6285500.84,4995837.170769793,2971472.09,3387615.301006579,5871867.11,6957051.143789951,4617829.51,3588556.7390231662,4933245.355714285,21934.571428571428,4131763.2416666667,21767.766666666666,23.0,0.0307
2013-07-28,5499337.78,4495711.711997148,1015,204,0,0,6,7,3,2013,209,1,0,0,0,0,25026.0,0.00397,136.1,3951589.99,3155541.240988822,3870016.88,3839644.552211293,4633441.2299999995,5427090.275473426,4007323.09,3139346.4944996177,5073262.198571429,21472.571428571428,4067754.0043333336,21489.533333333333,43.0,0.0424
2013-07-29,7511673.5200000005,6050620.543791516,1274,254,0,0,0,7,3,2013,210,0,0,0,0,0,20760.0,0.0045,211.4,5499337.78,4495711.711997148,5030133.96,4462029.327847195,6967090.05,8200383.989730548,4367596.82,3477798.184553676,5306022.327142857,21772.0,4096617.222666667,21527.366666666665,29.0,0.0228
